ticker,debt_ratio_greater_than_0.1,len_of_quarter_data
EDAP,0,0
EDN,0,0
EDU,0,0
EDUC,1836,0
EFX,2007,25
EGAN,291,17
EGHT,786,13
EGLE,1992,30
EGO,0,0
EGRX,1174,11
EGY,1771,8
EIX,2002,33
EL,1988,30
ELMD,143,14
ELP,0,0
ELTK,1983,1
EMAN,505,10
EME,1987,33
EMKR,1414,0
EMN,2003,26
EMR,1998,33
ENB,0,0
ENG,408,22
ENLC,1998,33
ENPH,1664,21
ENS,1998,33
ENSG,1808,14
ENSV,1828,33
ENTA,0,0
ENTG,1999,29
ENV,1932,18
ENZ,365,0
EOG,1999,33
EPAM,0,19
EPAY,1982,0
EPC,2003,29
EPD,1995,33
EPM,34,0
EPZM,518,0
EQT,2007,30
ERF,0,0
ERIC,0,0
ERII,808,15
ERJ,0,0
ESCA,1520,26
ESE,1531,32
ESEA,1996,7
ESLT,0,0
ESP,0,0
ESPR,0,12
ESTE,971,26
ET,1997,33
ETN,2002,33
ETR,1997,33
EVC,1997,33
EVGN,0,0
EVI,1336,21
EVOK,653,4
EVTC,1998,33
EW,1963,31
EXAS,1063,26
EXC,2002,33
EXEL,398,9
EXK,0,0
EXLS,1438,32
EXP,1996,31
EXPD,0,0
EXPE,2001,25
EXPO,0,0
EXPR,1755,0
EXTR,1971,33
FANG,1997,19
FARM,1444,28
FARO,0,2
FAST,1751,0
FATE,1025,12
FBIO,1995,20
FC,1928,0
FCEL,1916,0
FCFS,2005,33
FCN,2001,9
FCX,1995,33
OTTR,1995,32
OXM,1125,0
OXY,1999,25
PAA,1996,32
PAAS,0,0
PAC,0,0
PACB,1756,4
PAG,2002,33
PAGP,1994,32
PAHC,1968,33
PAM,0,0
PANL,1980,31
PANW,1971,0
PAR,1113,31
PARR,1995,33
PATK,1996,29
PAYC,1023,31
PAYX,827,0
PBA,1934,0
PBF,1997,32
PBFX,1495,0
PBH,1997,32
PBI,1885,33
PBPB,371,4
PBR,0,0
PBT,0,0
PBYI,842,9
PCG,2002,26
